#{"t_start": 1773582493.0100296, "env_id": "None"}
r,l,t
-0.693437,12,19.4114
-1.11375,12,19.431892
-1.143437,12,19.455297
-1.152812,12,19.48312
-0.8325,12,19.500676
-1.174687,12,19.52808
-1.16375,12,19.550555
-0.95125,12,19.578376
-1.143437,12,19.643955
-0.67625,12,19.662806
-0.937187,12,19.6788
3.10125,3,19.682343
-0.890312,12,19.701372
-0.646562,12,19.730824
-0.983437,12,19.775785
-1.12625,12,19.806833
-0.6575,12,19.817671
-0.659062,12,19.828047
-0.668437,12,19.83837
-0.835625,12,19.849312
-0.937187,12,19.859665
-0.909062,12,19.872988
-0.899687,12,19.895763
-1.15125,12,19.911542
-1.160625,12,19.923732
-0.05125,12,19.938597
3.06,9,19.947363
-1.179375,12,19.962663
